Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
Positive Thinking with a Paralympic Hero,5,213,,United Kingdom,90, English,22,500,413
Sign Language With Music For Beginners,4.99,251,Atlanta,United States,60, English,30,100,300
Cardiobox with a Champion-All Abilities,4.95,82,Norwich,United Kingdom,30, English,14,30,207
Fun and Games with Drag Queens in Spain,5,14,Madrid,Spain,60, English,29,30,551
The Pony Experience,5,2,Dural,Australia,60, English,22,30,142
Sit and Get Fit with Adaptive Yoga,5,15,London,United Kingdom,60, English,17,10,69
"Russian Emperors, the Romanov Family",4.92,13,Saint Petersburg,Russia,75, English,19,30,57
Learn about blind football with Keryn,5,3,,United Kingdom,60, English,33,30,32
Healing Soul Transformation Meditation,5,1,Sedona,United States,120, English,222,1,222
Decoding the Mysteries of Cats or Why Cats Do What They Do,5,11,New York,United States,60, English,20,30,250
Fun Giant Panda Time With a Nature Guide,4.94,252,Chengdu,China,60, English and Chinese Simplified,14,100,55
Guided tour to visit giant pandas,4.98,65,Chengdu,China,75, English Chinese Simplified and Chinese Traditional,35,30,280
New Zealand Nature Highlights,4.97,773,Palmerston North,New Zealand,60, English and Chinese Simplified,13,100,456
Holidays-Fun Group Tarot with a therapy dog,4.98,184,Rockville,United States,45, English and French,34,100,120
Mexican traditional celebrations of end-of-year,4.94,54,Playa del Carmen,Mexico,60, English and Spanish,13,100,74
Take the Dog to Family Nacho Dance Party,4.9,21,Santa Cruz,United States,60, English,11,30,70
Interactive fish identification workshop,5,1,New Delhi,India,120, English,17,,
Meet a Real Life Shark Scientist,4.98,942,Cape Town,South Africa,60, English,19,500,171
Go On a Leopard Safari in Sri Lanka,4.95,465,Colombo,Sri Lanka,60, English,14,100,100
The Rugged and Wild West Coast of New Zealand,,,Franz Josef,New Zealand,60, English,4,30,15
Live Virtual Wildlife Safari in South Africa,4.85,180,Stellenbosch Farms,South Africa,90, English,26,100,256
The Art of Penguin Conservation,4.96,271,Cape Town,South Africa,90, English,20,100,21
Meet and Draw a llama,4.97,522,Sydney,Australia,60, English,29,30,223
"Meet the Woolly Sheep, Lambs on my Farm",4.92,678,Rotorua,New Zealand,60, English,15,100,4
Animal Sanctuary Virtual Experience,4.9,356,Canterbury,United States,30, English,19,30,75
Dive Under the Sea with a Shark Expert,4.95,564,Cape Town,South Africa,60, English,20,500,171
Let’s paint sea-life,5,2,Pula,Croatia,90, English,24,30,116
Wintertide Meditation with Sleepy Sheep,4.98,724,Stirling,United Kingdom,60, English,20,100,275
Seal Rescue Ireland Virtual Experience,4.95,61,Courtown,Ireland,45, English,14,30,117
Meet My Bees,5,282,Lisbon,Portugal,60, English and Portuguese,32,100,314
The Fascinating World of Primates,5,40,Munich,Germany,60, English,13,30,64
Coffee With Tom Hanks & Wilson the Goats,5,8,Clinton,United States,60, English,13,30,120
Tortuguero and the green turtle,5,118,Guapiles,Costa Rica,60, Spanish and English,11,30,40
Safari Animals with a Nature Guide,4.92,163,Cape Town,South Africa,90, English,18,30,103
Amazing Panda Park Adventure,4.83,12,Chengdu,China,60, English Chinese Simplified and Chinese Traditional,17,30,156
Virtual Visit to an Animal Sanctuary,4.89,297,Sonoma,United States,60, English,15,30,150
Visit an Apiary and Learn About Bees,5,25,Mexico City,Mexico,90, Spanish and English,25,10,74
Animals Love Reiki,5,42,Folsom,United States,60, English,30,10,60
Save Africa's Wildlife a Snare at a Time,5,30,Johannesburg,South Africa,90, English,18,30,171
Cat Behavior Help with a Behaviorist Pro,5,129,New York,United States,60, English,150,2,150
À la découverte du Chien et du Chat,,,Brains-sur-les-Marches,France,60, French,21,10,59
Conoce al perro de agua Mexicano Axolotl,5,6,Mexico City,Mexico,60, Spanish,13,10,15
Remote Rescue Goats,4.97,481,Napanoch,United States,90, English,18,100,250
Learn The Language of Animals,5,17,Greater Sudbury,Canada,60, English,32,,
Conserve Cambodia's Endangered Wildlife,4.95,59,Krong Preah Vihear,Cambodia,75, English,18,30,100
Leader-sheep Skills,5,14,Stirling,United Kingdom,60, English,17,30,248
Unwind with Virtual Horse Meditation,5,1,Ottawa,Canada,60, English,19,15,267
Walk in to the Taj Mahal with a professional Tour Guide,4.81,43,Agra,India,60, English,10,30,134
Happy Hour n' a Half Cocktail Game Show,4.95,352,Bath and North East Somerset,United Kingdom,90, English,21,100,206
Forbidden City Treasure Hunt from home for Kids and Parents,5,4,Beijing,China,60, English,13,8,70
Once Upon a Time - Read Korean Folktales,4.98,369,Seoul,South Korea,60, English,9,30,153
Celebration of Day of the Dead in Mexico,4.95,245,Mexico City,Mexico,90, English Spanish and French,20,100,98
Virtual walk through Rome historical center,,,Roma,Italy,60, English,17,30,65
"Irish Village, History, Culture & Craic",4.97,1932,Dublin,Ireland,60, English,19,500,175
Drawn from Within with a New York Artist,4.98,759,New York,United States,60, English,22,500,129
A Journey Through Venice and its Canals,4.97,229,Venice,Italy,60, English,11,30,115
Indigenous Fashion with Expert Artisan,5,23,Havre,United States,60, English,13,15,100
Malta Experience - Personal itinerary,5,6,Msida,Malta,60, English,12,30,12
Create a Mexico City trip with Ricardo,4.97,31,Mexico City,Mexico,60, English and Spanish,4,100,4
Diwali Special - Get Creative with Interactive Street Art,4.97,564,New Delhi,India,60, English and Hindi,21,500,61
Drawing session,4.9,244,Oaxaca City,Mexico,45, Spanish and English,12,30,123
Drabble Writing for Creatives,4.96,25,Fletcher,United States,60, English,9,10,200
Making 1000 Origami Cranes Together,4.99,111,Nara,Japan,60, English,22,30,176
Discover the dark stories of Milan while walking its streets,,,Milan,Italy,60, English Spanish and Portuguese,23,30,92
"Drink and Draw, blind contour fun",5,62,Gulfport,United States,60, English,24,30,95
"Hallyu Campus Tour, Korean Universities",,,Seoul,South Korea,60, English,7,30,13
Discover Buenos Aires' Street Art & Sketch With a Specialist,4.97,739,Buenos Aires,Argentina,60, English and Spanish,15,500,150
Guided Doodle Session,,,Johannesburg,South Africa,75, English,12,20,62
Discover Interior Design Secrets,4.99,158,Florence,Italy,60, English and Italian,24,50,154
Lai Thai: Draw Ancient Thai Illustrations,4.86,29,Chiang Mai,Thailand,90, English,10,10,91
Explore Beer and Chocolate Pairings,5,23,Toronto,Canada,60, English,13,30,17
Diwali Special - The Wonder That Is India!,4.99,196,Bengaluru,India,60, English,13,100,127
A Party in Paris with a Parisian,4.94,1547,Paris,France,60, English,19,100,186
Hanoi History Recap,,,Hanoi,Vietnam,60, English,7,10,53
"Uncover Pompeii with an Archaeologist, virtual holiday trip",4.98,1010,Pompei,Italy,60, 5 languages,18,500,175
Sistine Chapel Behind The Scenes Tour,5,4,Rome,Italy,60, English and Italian,35,30,146
How To Caricature,4.97,122,Novato,United States,120, English,16,100,100
How to understand modern art,,,Milan,Italy,90, English,9,6,9
Step by step virtual Art class,,,Kissimmee,United States,60, English,20,,
Crime and Handwriting Analysis,4.98,40,Greater London,United Kingdom,60, English,27,100,110
"True or false, So Funny Facts about Peru",5,5,Lima,Peru,60, English and Spanish,8,30,11
Origami Fun with a Japanese festive Instructor,4.98,50,Kamagaya City,Japan,60, English and Japanese,16,100,141
Creative Smartphone Photography at Home,4.98,427,Berlin,Germany,60, English,25,50,98
Outlander's Inverness - Literary History,5,5,Inverness,United Kingdom,60, English,14,30,69
Harry Potter and the City of Porto,5,18,Porto,Portugal,75, English Spanish and Portuguese,7,15,13
Design an Idea in a Playful Way,4.95,38,Paris,France,90, English and French,23,8,233
Zoom around panoramic Amsterdam,5,9,Amsterdam,Netherlands,60, English and German,14,30,49
"Colourful Buenos Aires, Urban Art",,,Buenos Aires,Argentina,45, English and Spanish,12,30,100
Watercolor painted natal chart & reading,5,200,Barcelona,Spain,60, English Spanish and Portuguese,76,8,76
Walk live a medieval Castle in the city of Milan,,,Milan,Italy,45, English,23,30,92
Get a Japanese Furoshiki cloth and make a pretty hand bag,,,Tokyo,Japan,60, English and Japanese,88,10,351
Sydney Harbour Bridge Virtual Tour,,,Sydney,Australia,45, English and Portuguese,29,30,23
Angkor Wat Virtual Tour,5,3,Krong Siem Reap,Cambodia,60, English and Spanish,15,30,60
"Culture, Food and Lifestyle of Kenya",4.8,5,Nairobi,Kenya,75, English,15,30,100
Hidden in Plain Sight,5,4,Singapore,Singapore,60, English,12,30,75
Discover History through Escape Rooms,4.94,580,Florence,Italy,60, English and Italian,18,30,117
Plan a trip to Amalfi & Naples area with a local expert,,,Amalfi,Italy,60, English,12,100,117
Explore Beijing Must-see Sights,4.94,99,Beijing,China,60, English,5,30,280
Munich virtual tour with Paul,,,Munich,Germany,60, English,47,10,59
