Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost,Category
Positive Thinking with a Paralympic Hero,5.0,213.0,,United Kingdom,90, English,22,500.0,413.0,Accessibility
Sign Language With Music For Beginners,4.99,251.0,Atlanta,United States,60, English,30,100.0,300.0,Accessibility
Cardiobox with a Champion-All Abilities,4.95,82.0,Norwich,United Kingdom,30, English,14,30.0,207.0,Accessibility
Fun and Games with Drag Queens in Spain,5.0,14.0,Madrid,Spain,60, English,29,30.0,551.0,Accessibility
The Pony Experience,5.0,2.0,Dural,Australia,60, English,22,30.0,142.0,Accessibility
Sit and Get Fit with Adaptive Yoga,5.0,15.0,London,United Kingdom,60, English,17,10.0,69.0,Accessibility
"Russian Emperors, the Romanov Family",4.92,13.0,Saint Petersburg,Russia,75, English,19,30.0,57.0,Accessibility
Learn about blind football with Keryn,5.0,3.0,,United Kingdom,60, English,33,30.0,32.0,Accessibility
Healing Soul Transformation Meditation,5.0,1.0,Sedona,United States,120, English,222,1.0,222.0,Accessibility
Decoding the Mysteries of Cats or Why Cats Do What They Do,5.0,11.0,New York,United States,60, English,20,30.0,250.0,Animals
Fun Giant Panda Time With a Nature Guide,4.94,252.0,Chengdu,China,60, English and Chinese Simplified,14,100.0,55.0,Animals
Guided tour to visit giant pandas,4.98,65.0,Chengdu,China,75, English Chinese Simplified and Chinese Traditional,35,30.0,280.0,Animals
New Zealand Nature Highlights,4.97,773.0,Palmerston North,New Zealand,60, English and Chinese Simplified,13,100.0,456.0,Animals
Holidays-Fun Group Tarot with a therapy dog,4.98,184.0,Rockville,United States,45, English and French,34,100.0,120.0,Animals
Mexican traditional celebrations of end-of-year,4.94,54.0,Playa del Carmen,Mexico,60, English and Spanish,13,100.0,74.0,Animals
Take the Dog to Family Nacho Dance Party,4.9,21.0,Santa Cruz,United States,60, English,11,30.0,70.0,Animals
Interactive fish identification workshop,5.0,1.0,New Delhi,India,120, English,17,,,Animals
Meet a Real Life Shark Scientist,4.98,942.0,Cape Town,South Africa,60, English,19,500.0,171.0,Animals
Go On a Leopard Safari in Sri Lanka,4.95,465.0,Colombo,Sri Lanka,60, English,14,100.0,100.0,Animals
The Rugged and Wild West Coast of New Zealand,,,Franz Josef,New Zealand,60, English,4,30.0,15.0,Animals
Live Virtual Wildlife Safari in South Africa,4.85,180.0,Stellenbosch Farms,South Africa,90, English,26,100.0,256.0,Animals
The Art of Penguin Conservation,4.96,271.0,Cape Town,South Africa,90, English,20,100.0,21.0,Animals
Meet and Draw a llama,4.97,522.0,Sydney,Australia,60, English,29,30.0,223.0,Animals
"Meet the Woolly Sheep, Lambs on my Farm",4.92,678.0,Rotorua,New Zealand,60, English,15,100.0,4.0,Animals
Animal Sanctuary Virtual Experience,4.9,356.0,Canterbury,United States,30, English,19,30.0,75.0,Animals
Dive Under the Sea with a Shark Expert,4.95,564.0,Cape Town,South Africa,60, English,20,500.0,171.0,Animals
Let’s paint sea-life,5.0,2.0,Pula,Croatia,90, English,24,30.0,116.0,Animals
Wintertide Meditation with Sleepy Sheep,4.98,724.0,Stirling,United Kingdom,60, English,20,100.0,275.0,Animals
Seal Rescue Ireland Virtual Experience,4.95,61.0,Courtown,Ireland,45, English,14,30.0,117.0,Animals
Meet My Bees,5.0,282.0,Lisbon,Portugal,60, English and Portuguese,32,100.0,314.0,Animals
The Fascinating World of Primates,5.0,40.0,Munich,Germany,60, English,13,30.0,64.0,Animals
Coffee With Tom Hanks & Wilson the Goats,5.0,8.0,Clinton,United States,60, English,13,30.0,120.0,Animals
Tortuguero and the green turtle,5.0,118.0,Guapiles,Costa Rica,60, Spanish and English,11,30.0,40.0,Animals
Safari Animals with a Nature Guide,4.92,163.0,Cape Town,South Africa,90, English,18,30.0,103.0,Animals
The Pony Experience,5.0,2.0,Dural,Australia,60, English,22,30.0,141.0,Animals
Amazing Panda Park Adventure,4.83,12.0,Chengdu,China,60, English Chinese Simplified and Chinese Traditional,17,30.0,156.0,Animals
Virtual Visit to an Animal Sanctuary,4.89,297.0,Sonoma,United States,60, English,15,30.0,150.0,Animals
Visit an Apiary and Learn About Bees,5.0,25.0,Mexico City,Mexico,90, Spanish and English,25,10.0,74.0,Animals
Animals Love Reiki,5.0,42.0,Folsom,United States,60, English,30,10.0,60.0,Animals
Save Africa's Wildlife a Snare at a Time,5.0,30.0,Johannesburg,South Africa,90, English,18,30.0,171.0,Animals
Cat Behavior Help with a Behaviorist Pro,5.0,129.0,New York,United States,60, English,150,2.0,150.0,Animals
À la découverte du Chien et du Chat,,,Brains-sur-les-Marches,France,60, French,21,10.0,59.0,Animals
Conoce al perro de agua Mexicano Axolotl,5.0,6.0,Mexico City,Mexico,60, Spanish,13,10.0,15.0,Animals
Remote Rescue Goats,4.97,481.0,Napanoch,United States,90, English,18,100.0,250.0,Animals
Learn The Language of Animals,5.0,17.0,Greater Sudbury,Canada,60, English,32,,,Animals
Conserve Cambodia's Endangered Wildlife,4.95,59.0,Krong Preah Vihear,Cambodia,75, English,18,30.0,100.0,Animals
Leader-sheep Skills,5.0,14.0,Stirling,United Kingdom,60, English,17,30.0,248.0,Animals
Unwind with Virtual Horse Meditation,5.0,1.0,Ottawa,Canada,60, English,19,15.0,267.0,Animals
Walk in to the Taj Mahal with a professional Tour Guide,4.81,43.0,Agra,India,60, English,10,30.0,134.0,Art&Writing
Happy Hour n' a Half Cocktail Game Show,4.95,352.0,Bath and North East Somerset,United Kingdom,90, English,21,100.0,206.0,Art&Writing
Forbidden City Treasure Hunt from home for Kids and Parents,5.0,4.0,Beijing,China,60, English,13,8.0,70.0,Art&Writing
Once Upon a Time - Read Korean Folktales,4.98,369.0,Seoul,South Korea,60, English,9,30.0,153.0,Art&Writing
